Time,Data
0.787,-0.1047569151327178
0.788,-0.07656652458801953
0.789,-0.042960827205664534
0.79,0.008845848226274006
0.791,0.08868024189003852
0.792,0.18338885605686064
0.793,0.28022271730282367
0.794,0.36958963609352097
0.795,0.4580564053938648
0.796,0.5324223711279472
0.797,0.5846565367455989
0.798,0.6285009552752601
0.799,0.6735941173602707
0.8,0.7150517177468817
0.801,0.7585438913663967
0.802,0.8080086230789489
0.803,0.8702205923375821
0.804,0.9514763788944561
0.805,1.0516505201720943
0.806,1.1788211290205401
0.807,1.3275670149267973
0.808,1.4539172391274817
0.809,1.5528109456653747
0.81,1.6398236299951263
0.811,1.6938560030984458
0.812,1.7014762840916826
0.813,1.6686590799372134
0.814,1.5987660364918956
0.815,1.4877475029751803
0.816,1.3516862803208718
0.817,1.2119277462898055
0.818,1.101121769353846
0.819,1.0305247700207734
0.82,0.9718696333123582
0.821,0.9190133582232936
0.822,0.8884346282678933
0.823,0.8565009025926171
0.824,0.8182852458612464
0.825,0.7706128297062182
0.826,0.6999746357212567
0.827,0.5919694539568621
0.828,0.4520206027310205
0.829,0.30724516381806033
0.83,0.16550661516834378
0.831,0.00882823390342394
0.832,-0.14254243921941742
0.833,-0.251068991002624
0.834,-0.313517931670666
0.835,-0.3219316723542338
0.836,-0.28682478687111573
0.837,-0.23558958645738787
0.838,-0.1822404252087563
0.839,-0.1297424240598056
0.84,-0.09123844706214805
0.841,-0.06049664280500933
0.842,-0.03984961083044341
0.843,-0.04479646337700569
0.844,-0.07331081115982516
0.845,-0.1147659490176152
0.846,-0.15327816773232963
0.847,-0.18220029025149034
0.848,-0.20548181161445084
0.849,-0.217650476195196
0.85,-0.20725339130083412
0.851,-0.1847061852175294
0.852,-0.1616139787597006
0.853,-0.1367256176443162
0.854,-0.11074451191576973
0.855,-0.09223500994244242
0.856,-0.08383142921071231
0.857,-0.0958859615782325
0.858,-0.10459734964423924
0.859,-0.11556420510680196
0.86,-0.1356247883617822
0.861,-0.1567947122995434
0.862,-0.16710412869735028
0.863,-0.16816678216185238
0.864,-0.16637691878487645
0.865,-0.15371212005469706
0.866,-0.1422031807095191
0.867,-0.13019909448515382
0.868,-0.12759289788999323
0.869,-0.13117586088171052
0.87,-0.13525423982556817
0.871,-0.14960264114138527
0.872,-0.17075438666721704
0.873,-0.188557884384778
0.874,-0.20087368421428536
0.875,-0.20226043790417741
0.876,-0.19950407655508415
0.877,-0.19288096169299992
0.878,-0.1801041073912016
0.879,-0.1559690529749134
0.88,-0.13577828928268867
0.881,-0.12466747872744041
0.882,-0.11897432704310941
0.883,-0.11577892315627818
0.884,-0.11470596663713724
0.885,-0.12402323492254014
0.886,-0.14600901495006624
0.887,-0.16250695519188607
0.888,-0.17555090161745165
0.889,-0.1849316415511522
0.89,-0.1785935170597781
0.891,-0.163787420139125
0.892,-0.1609590281439171
0.893,-0.15440596691018155
0.894,-0.13478343710010765
0.895,-0.11556549569313673
0.896,-0.10557355124755195
0.897,-0.10866466280156538
0.898,-0.11663478180005768
0.899,-0.12334471566300645
0.9,-0.1300296779656907
0.901,-0.1407167157647296
0.902,-0.15265541199733698
0.903,-0.16166936457344896
0.904,-0.15535775477833516
0.905,-0.14811236907176004
0.906,-0.14195739349031142
0.907,-0.136257837553732
0.908,-0.13336930258564778
0.909,-0.136311540869454
0.91,-0.13553932452693584
0.911,-0.1308591584745831
0.912,-0.13050538279604013
0.913,-0.13335230099785403
0.914,-0.1362084314394585
0.915,-0.134121475235663
0.916,-0.12462173470885742
0.917,-0.11884732550526726
0.918,-0.11352275737037233
0.919,-0.10279672183215531
0.92,-0.09197739372006618
0.921,-0.0872269255499315
0.922,-0.08328592616821713
0.923,-0.08029166176028484
0.924,-0.08373223257185979
0.925,-0.09154800947233528
0.926,-0.09535818726368957
0.927,-0.0947619506016256
0.928,-0.09264679856321441
0.929,-0.09143479940758388
0.93,-0.08821131107254533
0.931,-0.0817069050011772
0.932,-0.07613601026148914
0.933,-0.07292783984267244
0.934,-0.0744093323646006
0.935,-0.07351075313130458
0.936,-0.07355980158710604
0.937,-0.08821059859036172
0.938,-0.10252405611045987
0.939,-0.10418244950104726
0.94,-0.10979096126338002
0.941,-0.12119920924150586
0.942,-0.12177073121320713
0.943,-0.12053927243382223
0.944,-0.12121522262145973
0.945,-0.12303838360005712
0.946,-0.12250727327397336
0.947,-0.11604293813780328
0.948,-0.11266062594345144
0.949,-0.12472219019990342
0.95,-0.1308257091360602
0.951,-0.13285990294845557
0.952,-0.14421565409205278
0.953,-0.15311282585020736
0.954,-0.1539749853810582
0.955,-0.15277314068292808
0.956,-0.15226478718097378
0.957,-0.14207547295571463
0.958,-0.12560242130053922
0.959,-0.1027567381562857
0.96,-0.0925946067938818
0.961,-0.0949114905238391
0.962,-0.09488172719235373
0.963,-0.08881720781914704
0.964,-0.08809486456189655
0.965,-0.10526842674498199
0.966,-0.12734245854680823
0.967,-0.1271538308439043
0.968,-0.12478427733439058
0.969,-0.14092191471332394
0.97,-0.1441006410457677
0.971,-0.12477173871751107
0.972,-0.11219640993840592
0.973,-0.11018416873060734
0.974,-0.09973252525656134
0.975,-0.08164203065730183
0.976,-0.07218386906123855
0.977,-0.07388443951119435
0.978,-0.08146572502465783
0.979,-0.0819472958084707
0.98,-0.08588255316070864
0.981,-0.0966752223574029
0.982,-0.10390753919755469
0.983,-0.09861178899880493
0.984,-0.09543141307773538
0.985,-0.09664333552901404
0.986,-0.09004379090132915
0.987,-0.07772908396818493
0.988,-0.0658241851066628
0.989,-0.059221441181896456
0.99,-0.05338724125439703
0.991,-0.04627751398491886
0.992,-0.04637742686947299
0.993,-0.04885236087496444
0.994,-0.04677240467234133
0.995,-0.04035664634056077
0.996,-0.028179813974099466
0.997,-0.019292982767529044
0.998,-0.01722994743934303
0.999,-0.012896956244624721
1.0,-0.0123700013756393
1.001,-0.00864490918254894
1.002,-0.0033964591191695944
1.003,-0.004801299995575028
1.004,-0.01046587380126025
1.005,-0.01847788308213749
1.006,-0.028572998280806953
1.007,-0.03138333015599201
1.008,-0.03671613839273214
1.009,-0.048804201251247854
1.01,-0.052474736262932586
1.011,-0.04520054830558975
1.012,-0.03402157973805727
1.013,-0.022352012114799483
1.014,-0.01671179273412306
1.015,-0.012436941080414113
1.016,-0.014427034428983462
1.017,-0.0229801404383967
1.018,-0.03374700590765249
1.019,-0.03281153395608847
1.02,-0.035878773509102665
1.021,-0.05053022601147293
1.022,-0.05749364368716083
1.023,-0.0578731087751247
1.024,-0.05829507061658867
1.025,-0.05794481325025245
1.026,-0.05749132818989555
1.027,-0.04792167279555617
1.028,-0.03432371533250586
1.029,-0.030665075288613935
1.03,-0.02461444828682907
1.031,-0.016440062722993275
1.032,-0.017001564150482432
1.033,-0.019830425185595336
1.034,-0.02427477680082593
1.035,-0.025671523659337146
1.036,-0.026504435534643177
1.037,-0.029512249785636664
1.038,-0.03172418175579078
1.039,-0.027418356267218155
1.04,-0.02701727330569186
1.041,-0.03094920515487219
1.042,-0.02851203403848608
1.043,-0.02977481362201651
1.044,-0.04054266155021759
1.045,-0.04539479790159885
1.046,-0.04078737367630129
1.047,-0.0401964662154639
1.048,-0.045266101207387895
